Date,Radius,Location,Query,TotalResults
7/19/2015,25,"Columbia, MD",C#,724
7/19/2015,50,"Columbia, MD",C#,2386
7/19/2015,25,"Columbia, MD",C# mvc,150
7/19/2015,50,"Columbia, MD",C# mvc,514
7/19/2015,25,"Columbia, MD",C# mvc angular,23
7/19/2015,50,"Columbia, MD",C# mvc angular,90
7/19/2015,25,"Columbia, MD",angular,284
7/19/2015,50,"Columbia, MD",angular,818
7/19/2015,25,"Columbia, MD",scala,61
7/19/2015,50,"Columbia, MD",scala,179
7/19/2015,25,"Columbia, MD",python,1323
7/19/2015,50,"Columbia, MD",python,3436
7/19/2015,25,"Columbia, MD",C++,1327
7/19/2015,50,"Columbia, MD",C++,2822
7/19/2015,25,"Columbia, MD",java,2830
7/19/2015,50,"Columbia, MD",java,7928
7/19/2015,25,"Columbia, MD",machine learning,175
7/19/2015,50,"Columbia, MD",machine learning,597
7/19/2015,25,"Washington, DC",C#,1977
7/19/2015,50,"Washington, DC",C#,2409
7/19/2015,25,"Washington, DC",C# mvc,439
7/19/2015,50,"Washington, DC",C# mvc,526
7/19/2015,25,"Washington, DC",C# mvc angular,80
7/19/2015,50,"Washington, DC",C# mvc angular,94
7/19/2015,25,"Washington, DC",angular,705
7/19/2015,50,"Washington, DC",angular,822
7/19/2015,25,"Washington, DC",scala,150
7/19/2015,50,"Washington, DC",scala,179
7/19/2015,25,"Washington, DC",python,2799
7/19/2015,50,"Washington, DC",python,3422
7/19/2015,25,"Washington, DC",C++,2217
7/19/2015,50,"Washington, DC",C++,2796
7/19/2015,25,"Washington, DC",java,6667
7/19/2015,50,"Washington, DC",java,7902
7/19/2015,25,"Washington, DC",machine learning,514
7/19/2015,50,"Washington, DC",machine learning,603
7/19/2015,25,"Baltimore, MD",C#,475
7/19/2015,50,"Baltimore, MD",C#,2256
7/19/2015,25,"Baltimore, MD",C# mvc,77
7/19/2015,50,"Baltimore, MD",C# mvc,495
7/19/2015,25,"Baltimore, MD",C# mvc angular,8
7/19/2015,50,"Baltimore, MD",C# mvc angular,87
7/19/2015,25,"Baltimore, MD",angular,169
7/19/2015,50,"Baltimore, MD",angular,797
7/19/2015,25,"Baltimore, MD",scala,48
7/19/2015,50,"Baltimore, MD",scala,173
7/19/2015,25,"Baltimore, MD",python,997
7/19/2015,50,"Baltimore, MD",python,3243
7/19/2015,25,"Baltimore, MD",C++,1089
7/19/2015,50,"Baltimore, MD",C++,2605
7/19/2015,25,"Baltimore, MD",java,2018
7/19/2015,50,"Baltimore, MD",java,7488
7/19/2015,25,"Baltimore, MD",machine learning,104
7/19/2015,50,"Baltimore, MD",machine learning,573
7/19/2015,25,"San Jose, CA",C#,826
7/19/2015,50,"San Jose, CA",C#,1708
7/19/2015,25,"San Jose, CA",C# mvc,109
7/19/2015,50,"San Jose, CA",C# mvc,249
7/19/2015,25,"San Jose, CA",C# mvc angular,25
7/19/2015,50,"San Jose, CA",C# mvc angular,50
7/19/2015,25,"San Jose, CA",angular,583
7/19/2015,50,"San Jose, CA",angular,1187
7/19/2015,25,"San Jose, CA",scala,420
7/19/2015,50,"San Jose, CA",scala,984
